,companyFullName,companyLabelList,companySize,industryField,createTime,district,education,financeStage,firstType,secondType,formatCreateTime,publisherId,salary,workYear,positionName,jobNature,positionAdvantage,positionLables
0,深圳市博奥特科技有限公司,"['绩效奖金', '领导好', '帅哥多', '美女多']",150-500人,"移动互联网,金融",2018-04-20 09:03:56,福田区,大专,未融资,开发/测试/运维类,后端开发,3天前发布,7695500,10k-15k,1-3年,Python开发工程师,全职,"晋升空间大,五险一金","['金融', '大数据', '数据挖掘', 'django']"
1,深圳市一面网络技术有限公司,"['技能培训', '海归精英团队', 'Geek分享', '绩效奖金']",15-50人,"移动互联网,数据服务",2018-04-20 11:02:06,南山区,本科,A轮,开发/测试/运维类,后端开发,3天前发布,617968,14k-25k,不限,Python工程师（数据平台）,全职,"大数据领域,人工智能,清华系大牛,技术氛围浓","['数据分析', 'Java']"
2,深圳布谷鸟信息科技有限公司,"['高颜值公司', '发展潜力大', '美女多', '岗位晋升']",500-2000人,"电子商务,移动互联网",2018-04-19 18:05:45,南山区,本科,不需要融资,开发/测试/运维类,后端开发,2018-04-19,6126042,10k-20k,3-5年,Python开发工程师,全职,"五险一金,绩效奖金,技术大牛多,团队年轻化","['高级', 'php', '爬虫', '架构', 'django']"
3,深圳狗尾草智能科技有限公司,"['年底双薪', '股票期权', '带薪年假', '绩效奖金']",150-500人,"移动互联网,O2O",2018-04-17 09:39:11,南山区,本科,A轮,开发/测试/运维类,后端开发,2018-04-17,7713913,15k-30k,3-5年,高级Python开发工程师,全职,"待遇超级好,福利超级多,公司发展快,人傻钱还多","['tornado', 'redis', 'flask', '高并发分布式']"
4,深圳市和讯华谷信息技术有限公司,"['五险一金', '文体活动', '团建旅游', '美味晚餐']",150-500人,"移动互联网,数据服务",2018-04-20 20:01:32,南山区,本科,D轮及以上,开发/测试/运维类,后端开发,3天前发布,2153176,18k-35k,3-5年,极光调研 - 高级 Python 工程师,全职,"D轮+,14薪+,攻城狮氛围,牛掰团队","['web', '大数据', 'Java']"
5,深圳酷竞科技有限公司,"['交通补助', '绩效奖金', '专项奖金', '带薪年假']",15-50人,"文化娱乐,游戏",2018-04-19 14:08:14,南山区,本科,天使轮,开发/测试/运维类,后端开发,2018-04-19,6077277,10k-15k,1-3年,Python开发工程师,全职,"涨薪频率快,涨薪频率快,涨薪频率快,含薪假期","['中级', '后端开发']"
6,深圳市前海汇流信息科技有限公司,"['带薪年假', '年度旅游', '领导好', '年底双薪']",50-150人,移动互联网,2018-04-18 18:11:16,南山区,本科,A轮,开发/测试/运维类,后端开发,2018-04-18,3898148,13k-25k,1-3年,Python研发工程师,全职,"五险一金,年终奖,土豪奖金,国内外旅游","['中级', 'web', 'PHP', '后端', 'Node.js']"
7,深圳市盖威科技有限公司,"['绩效奖金', '五险一金', '交通补助', '带薪年假']",150-500人,金融,2018-04-18 14:39:43,南山区,本科,不需要融资,开发/测试/运维类,后端开发,2018-04-18,5713991,14k-20k,3-5年,Python交易开发工程师,全职,福利待遇好,"['金融', 'C++', 'Java', '算法']"
8,深圳奥比中光科技有限公司,"['技能培训', '节日礼物', '年底双薪', '股票期权']",50-150人,"移动互联网,其他",2018-04-15 17:08:21,南山区,本科,C轮,开发/测试/运维类,后端开发,2018-04-15,1302059,15k-30k,3-5年,Python开发工程师,全职,"14薪,福利多",[]
9,深圳市微课科技有限公司,"['美女多', '弹性工作', '扁平管理', '年底双薪']",50-150人,"移动互联网,教育",2018-04-20 10:15:38,南山区,本科,A轮,开发/测试/运维类,后端开发,3天前发布,7978586,10k-15k,1年以下,Python工程师,全职,"五险一金,带薪年假","['移动互联网', 'php', 'Java']"
10,浪潮通用软件有限公司深圳研发中心,"['技能培训', '节日礼物', '绩效奖金', '岗位晋升']",2000人以上,"移动互联网,企业服务",2018-04-20 09:52:31,南山区,本科,上市公司,开发/测试/运维类,后端开发,3天前发布,8684655,11k-18k,1-3年,python开发工程师,全职,"成长机会,高手如云,环境好,氛围轻松","['云计算', 'Java']"
11,深圳市安络科技有限公司,"['节日礼物', '年底双薪', '专项奖金', '带薪年假']",150-500人,信息安全,2018-04-20 09:45:55,南山区,大专,未融资,开发/测试/运维类,后端开发,3天前发布,2225666,10k-20k,3-5年,Python开发工程师,全职,"五险一金,员工旅游,带薪年假,法定节假",['信息安全']
12,深信服科技股份有限公司,"['三餐全包', '大牛超多', '年终奖超多', '大公司，稳定']",2000人以上,"信息安全,企业服务",2018-04-09 09:52:25,南山区,本科,不需要融资,开发/测试/运维类,后端开发,2018-04-09,4996887,13k-18k,1-3年,Python软件开发工程师,全职,"福利好,待遇高",['django']
13,深圳市环球易购电子商务有限公司,"['节日礼物', '股票期权', '带薪年假', '绩效奖金']",2000人以上,电子商务,2018-04-19 09:36:25,南山区,大专,上市公司,开发/测试/运维类,软件开发,2018-04-19,2117758,12k-20k,3-5年,高级python开发工程师,全职,上市公司,['软件开发']
14,成都琛石科技有限公司,"['绩效奖金', '专项奖金', '带薪年假', '弹性工作']",15-50人,"教育,数据服务",2018-04-16 17:55:24,南山区,本科,A轮,开发/测试/运维类,后端开发,2018-04-16,268315,8k-16k,1-3年,Python 研发工程师,全职,"技术氛围,在线教育,最新技术","['云计算', '后端开发', '服务器端', '后端', 'flask']"
